letter,count,common_count,percentage
N,2,35,5.71
e,112,856,13.08
w,20,856,2.34
s,57,856,6.66
P,3,35,8.57
o,79,856,9.23
l,37,856,4.32
a,64,856,7.48
n,54,856,6.31
d,27,856,3.15
c,27,856,3.15
r,50,856,5.84
p,11,856,1.29
t,76,856,8.88
m,22,856,2.57
y,19,856,2.22
g,14,856,1.64
j,3,856,0.35
u,39,856,4.56
i,56,856,6.54
f,21,856,2.45
W,5,35,14.29
v,11,856,1.29
A,7,35,20.0
H,2,35,5.71
b,10,856,1.17
Q,3,35,8.57
h,38,856,4.44
k,5,856,0.58
E,1,35,2.86
z,4,856,0.47
T,3,35,8.57
R,2,35,5.71
S,2,35,5.71
L,1,35,2.86
B,2,35,5.71
M,1,35,2.86
C,1,35,2.86
